Comment,Designator,Footprint,LCSC Part #
1uF 50V X5R,C1,C0603,C15849
LED red,D1,LED-SMD_L1.6-W0.8-R-RD,C2286
USB-C 6P,J1,USB-C-SMD_918-418K2023S40006,C2798175
6.8k,R1,R0603,C23212
24k,R2,R0603,C23352
56k,R3,R0603,C23206
120k,R4,R0603,C25808
0R (12V fitted),R5,R0603,C21189
10k,R6,R0603,C25804
0R,R7,R0603,C21189
CH224A,U1,ESSOP-10_L4.9-W3.9-P1.0-LS6.0-TL-EP,C42459160
