Comment,Designator,Qty Per Board,Footprint,MPN,LCSC,Assembly Class,Instructions
100nF 50V X7R,"C1,C5",2,C0603,,C14663,smt_placed,
4.7uF 16V X7R,C2,1,C0603,,C22399629,smt_placed,
10nF 25V X7R,C3,1,C0603,,C327204,smt_placed,
1uF 16V X7R,C4,1,C0603,,C106248,smt_placed,
2P 5.08mm screw terminal THT,J1,1,CONN-TH_2P-P5.00_WJ500V-5.08-2P,,C8465,smt_placed,
1x5 2.54mm male THT,"J2,J3",2,HDR-TH_5P-P2.54-V-M,,C32713271,smt_placed,
10k,R1,1,R0603,,C25804,smt_placed,
STM32F030F4P6TR,U1,1,SOP-20_L6.5-W4.4-P0.65-LS6.4-BL,,C89040,smt_placed,
,"H1,H2,H3,H4",4,,,,board_feature,Realised in copper - nothing to buy or place.
