Designator,Mid X,Mid Y,Layer,Rotation
C1,35.0900,-45.1170,Top,270.0000
D1,40.2900,-43.1170,Top,180.0000
J1,22.2400,-39.3170,Top,270.0000
R1,40.5900,-33.6170,Top,180.0000
R2,40.5900,-31.8170,Top,180.0000
R3,40.5900,-30.0170,Top,180.0000
R4,40.5900,-28.2170,Top,180.0000
R5,40.5900,-35.4170,Top,180.0000
R6,37.4900,-43.1170,Top,0.0000
R7,35.0900,-42.3670,Top,270.0000
SW1,34.1900,-31.8170,Top,90.0000
U1,30.2900,-44.1670,Top,90.0000
