Comment,Designator,Footprint,LCSC
220nF 50V X7R,C1,C0603,C107083
10uF 50V X7R,"C2,C3,C10",C1210,C2918502
22uF 25V X7R,"C4,C5,C8,C9",C1210,C2918511
100nF 50V X7R,C6,C0603,C14663
1uF 25V X7R,C7,C0603,C106858
15uH,L1,IND-SMD_L12.5-W12.5_RLF12545T,C40000
102k 0.1% 25ppm,R1,R0603,C861068
25.5k 0.1% 25ppm,R2,R0603,C861257
LMR33630ADDAR,U1,ESOP-8_L4.9-W3.9-P1.27-LS6.0-TL-EP,C841384
