Designator,Mid X,Mid Y,Layer,Rotation
C1,34.6200,-40.2050,Top,90.0000
C2,36.6700,-36.7800,Top,0.0000
C3,42.0700,-36.7800,Top,0.0000
C4,57.2700,-49.3800,Top,180.0000
C5,40.2700,-50.0800,Top,0.0000
C6,43.3200,-40.2050,Top,90.0000
C7,41.1700,-45.0300,Top,180.0000
C8,40.2700,-53.5800,Top,0.0000
C9,40.2700,-57.0800,Top,0.0000
C10,33.5700,-46.1800,Top,180.0000
L1,52.6700,-41.2300,Top,0.0000
R1,41.1200,-46.9100,Top,0.0000
R2,38.0200,-46.9100,Top,180.0000
U1,38.9700,-41.4800,Top,0.0000
