Ref,Val,Package,PosX,PosY,Rot,Side
"C1","10uF 16V solid tantalum","CAP-SMD_L3.2-W1.6-RD-C7171",19.151500,-31.575000,90.000000,top
"C2","22uF 16V solid tantalum ESR 0.8ohm","CAP-SMD_L7.3-W4.3",23.551500,-25.952500,-90.000000,top
"J1","2P 5.08mm THT screw terminal","CONN-TH_2P-P5.00_WJ500V-5.08-2P",11.625000,-37.027500,90.000000,top
"J2","2P 5.08mm THT screw terminal","CONN-TH_2P-P5.00_WJ500V-5.08-2P",33.280000,-37.027500,-90.000000,top
"U1","AMS1117-3.3","SOT-223-3_L6.5-W3.4-P2.30-LS7.0-BR",23.551500,-35.575000,90.000000,top
