Comment,Designator,Footprint,LCSC
10uF 16V solid tantalum,C1,CAP-SMD_L3.2-W1.6-RD-C7171,C7171
22uF 16V solid tantalum ESR 0.8ohm,C2,CAP-SMD_L7.3-W4.3,C215872
AMS1117-3.3,U1,SOT-223-3_L6.5-W3.4-P2.30-LS7.0-BR,C6186
