Comment,Designator,Qty Per Board,Footprint,MPN,LCSC,Assembly Class,Instructions
10uF 16V solid tantalum,C1,1,CAP-SMD_L3.2-W1.6-RD-C7171,TAJA106K016RNJ,C7171,smt_placed,
22uF 16V solid tantalum ESR 0.8ohm,C2,1,CAP-SMD_L7.3-W4.3,293D226X9016D2TE3,C215872,smt_placed,
AMS1117-3.3,U1,1,SOT-223-3_L6.5-W3.4-P2.30-LS7.0-BR,AMS1117-3.3,C6186,smt_placed,
2P 5.08mm THT screw terminal,J1,1,CONN-TH_2P-P5.00_WJ500V-5.08-2P,WJ500V-5.08-2P,C8465,hand_install,"THT screw terminal, hand-solder after PCBA. GND pin lands in the B.Cu return pour."
2P 5.08mm THT screw terminal,J2,1,CONN-TH_2P-P5.00_WJ500V-5.08-2P,WJ500V-5.08-2P,C8465,hand_install,"THT screw terminal, hand-solder after PCBA. +3V3 pin lands in the large solid-connected F.Cu heatsink pour (connect: solid, no thermal relief per blocks.md s.9.10) - needs a hot iron with real thermal mass (blocks.md s.5)."
